Name,Opp,Tournament,Date,Round,ScoreFor,ScoreAgainst,Difference,Win,Loss,Margin,Source
Victor Chua,Nigel Richards,4th Lim Boon Heng Cup,19 Mar 2006,10,414 -,552,-138,0    -,1,-138,SA
Victor Chua,Nigel Richards,10th Singapore Open Scrabble Championship,27 May 2007,3,385 -,505,-120,0    -,2,-258,SA
Victor Chua,Nigel Richards,6th Lim Boon Heng Cup,16 Mar 2008,3,359 -,343,+16,1    -,2,-242,SA
Victor Chua,Nigel Richards,11th Singapore Open Scrabble Championship,25 May 2008,9,326 -,460,-134,1    -,3,-376,SA
Victor Chua,Nigel Richards,7th Lim Boon Heng Cup,22 Mar 2009,3,372 -,412,-40,1    -,4,-416,SA
Victor Chua,Nigel Richards,12th Singapore Open Scrabble Championship,31 May 2009,7,402 -,586,-184,1    -,5,-600,SA
Victor Chua,Nigel Richards,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,10,368 -,487,-119,1    -,6,-719,SA
Victor Chua,Nigel Richards,8th Lim Boon Heng Cup,7 Mar 2010,4,588 -,409,+179,2    -,6,-540,SA
Victor Chua,Nigel Richards,13th Singapore Open Scrabble Championship,14 Nov 2010,4,446 -,532,-86,2    -,7,-626,SA
Victor Chua,Nigel Richards,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,6,360 -,515,-155,2    -,8,-781,SA
Victor Chua,Aaron Chong,NTU WGS Scrabble Mini 2013,17 Mar 2013,4,494 -,324,+170,1    -,0,+170,SA
Victor Chua,Yeo Kian Hung Henry,4th Lim Boon Heng Cup,19 Mar 2006,1,466 -,421,+45,1    -,0,+45,SA
Victor Chua,Yeo Kian Hung Henry,5th Lim Boon Heng Cup,18 Mar 2007,11,426 -,332,+94,2    -,0,+139,SA
Victor Chua,Yeo Kian Hung Henry,9th SA Millennium Cup,27 Jan 2008,4,371 -,348,+23,3    -,0,+162,SA
Victor Chua,Yeo Kian Hung Henry,9th SA Millennium Cup,27 Jan 2008,16,261 -,542,-281,3    -,1,-119,SA
Victor Chua,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,9,427 -,339,+88,4    -,1,-31,SA
Victor Chua,Yeo Kian Hung Henry,10th SA Millennium Cup,1 Mar 2009,18,428 -,363,+65,5    -,1,+34,SA
Victor Chua,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,10,277 -,525,-248,5    -,2,-214,SA
Victor Chua,Yeo Kian Hung Henry,12th Singapore Open Scrabble Championship,31 May 2009,16,407 -,349,+58,6    -,2,-156,SA
Victor Chua,Yeo Kian Hung Henry,8th Lim Boon Heng Cup,7 Mar 2010,7,422 -,498,-76,6    -,3,-232,SA
Victor Chua,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,14,468 -,332,+136,7    -,3,-96,SA
Victor Chua,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,19,370 -,315,+55,8    -,3,-41,SA
Victor Chua,Jocelyn Lor,4th Lim Boon Heng Cup,19 Mar 2006,11,400 -,489,-89,0    -,1,-89,SA
Victor Chua,Jocelyn Lor,9th Singapore Open Scrabble Championship,28 May 2006,14,449 -,449,0,½ -,1½,-89,SA
Victor Chua,Jocelyn Lor,9th Singapore Open Scrabble Championship,28 May 2006,15,419 -,393,+26,1½ -,1½,-63,SA
Victor Chua,Jocelyn Lor,5th Lim Boon Heng Cup,18 Mar 2007,2,471 -,358,+113,2½ -,1½,+50,SA
Victor Chua,Jocelyn Lor,9th SA Millennium Cup,27 Jan 2008,1,548 -,460,+88,3½ -,1½,+138,SA
Victor Chua,Jocelyn Lor,6th Lim Boon Heng Cup,16 Mar 2008,8,401 -,375,+26,4½ -,1½,+164,SA
Victor Chua,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,8,444 -,360,+84,5½ -,1½,+248,SA
Victor Chua,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,16,398 -,407,-9,5½ -,2½,+239,SA
Victor Chua,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,11,351 -,498,-147,5½ -,3½,+92,SA
Victor Chua,Jocelyn Lor,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,1,412 -,469,-57,5½ -,4½,+35,SA
Victor Chua,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,10,383 -,343,+40,6½ -,4½,+75,SA
Victor Chua,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,14,478 -,357,+121,7½ -,4½,+196,SA
Victor Chua,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,13,374 -,384,-10,7½ -,5½,+186,SA
Victor Chua,Jocelyn Lor,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,2,379 -,327,+52,8½ -,5½,+238,SA
Victor Chua,Jocelyn Lor,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,16,329 -,453,-124,8½ -,6½,+114,SA
Victor Chua,Tan Jin Chor,Grandeur 8 mini tournament,28 Sep 2008,2,491 -,377,+114,1    -,0,+114,SA
Victor Chua,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,11,448 -,446,+2,2    -,0,+116,SA
Victor Chua,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,16,527 -,312,+215,3    -,0,+331,SA
Victor Chua,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,1,486 -,395,+91,1    -,0,+91,SA
Victor Chua,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,16,466 -,301,+165,2    -,0,+256,SA
Victor Chua,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,17,272 -,442,-170,2    -,1,+86,SA
Victor Gwee,Nigel Richards,13th Singapore Open Scrabble Championship,14 Nov 2010,7,336 -,519,-183,0    -,1,-183,SA
Victor Gwee,Aaron Chong,Jurong Green CC mini tournament,12 Aug 2012,5,389 -,511,-122,0    -,1,-122,SA
Victor Gwee,Aaron Chong,15th Singapore Open Scrabble Championship,18 Nov 2012,6,339 -,398,-59,0    -,2,-181,SA
Victor Gwee,Aaron Chong,Jurong Green CC mini tournament,12 May 2013,2,402 -,527,-125,0    -,3,-306,SA
Victor Gwee,Aaron Chong,Jurong Green CC mini tournament,12 May 2013,9,520 -,354,+166,1    -,3,-140,SA
Victor Gwee,Martin Teo,14th Singapore Open Scrabble Championship,27 Nov 2011,10,417 -,365,+52,1    -,0,+52,SA
Victor Gwee,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,7,393 -,409,-16,0    -,1,-16,SA
Victor Gwee,Jocelyn Lor,12th Singapore Open Scrabble Championship,31 May 2009,13,416 -,452,-36,0    -,2,-52,SA
Victor Gwee,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,15,384 -,464,-80,0    -,3,-132,SA
Victor Gwee,Jocelyn Lor,12th SA Millennium Cup,23 Jan 2011,1,441 -,394,+47,1    -,3,-85,SA
Victor Gwee,Jocelyn Lor,12th SA Millennium Cup,23 Jan 2011,10,331 -,386,-55,1    -,4,-140,SA
Victor Gwee,Jocelyn Lor,14th Singapore Open Scrabble Championship,27 Nov 2011,11,249 -,501,-252,1    -,5,-392,SA
Victor Gwee,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,13,389 -,423,-34,1    -,6,-426,SA
Victor Gwee,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,14,356 -,344,+12,2    -,6,-414,SA
Victor Gwee,Jocelyn Lor,Jurong Green CC mini tournament,12 Aug 2012,9,443 -,418,+25,3    -,6,-389,SA
Victor Gwee,Tan Jin Chor,15th Singapore Open Scrabble Championship,18 Nov 2012,3,343 -,294,+49,1    -,0,+49,SA
Victor Gwee,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,3,417 -,324,+93,1    -,0,+93,SA
Victor Gwee,Alex Tan,12th SA Millennium Cup,23 Jan 2011,7,413 -,334,+79,2    -,0,+172,SA
Victor Gwee,Alex Tan,12th SA Millennium Cup,23 Jan 2011,16,456 -,277,+179,3    -,0,+351,SA
Marlon Prudencio,Nigel Richards,4th Lim Boon Heng Cup,19 Mar 2006,6,350 -,545,-195,0    -,1,-195,SA
Marlon Prudencio,Nigel Richards,4th Lim Boon Heng Cup,19 Mar 2006,14,383 -,410,-27,0    -,2,-222,SA
Marlon Prudencio,Nigel Richards,10th Singapore Open Scrabble Championship,27 May 2007,12,457 -,440,+17,1    -,2,-205,SA
Marlon Prudencio,Nigel Richards,6th Lim Boon Heng Cup,16 Mar 2008,9,401 -,431,-30,1    -,3,-235,SA
Marlon Prudencio,Nigel Richards,11th Singapore Open Scrabble Championship,25 May 2008,4,462 -,435,+27,2    -,3,-208,SA
Marlon Prudencio,Nigel Richards,7th Lim Boon Heng Cup,22 Mar 2009,2,421 -,466,-45,2    -,4,-253,SA
Marlon Prudencio,Nigel Richards,7th Lim Boon Heng Cup,22 Mar 2009,16,435 -,565,-130,2    -,5,-383,SA
Marlon Prudencio,Nigel Richards,8th Lim Boon Heng Cup,7 Mar 2010,2,361 -,599,-238,2    -,6,-621,SA
Marlon Prudencio,Nigel Richards,13th Singapore Open Scrabble Championship,14 Nov 2010,13,363 -,499,-136,2    -,7,-757,SA
Marlon Prudencio,Nigel Richards,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,4,327 -,463,-136,2    -,8,-893,SA
Marlon Prudencio,Nigel Richards,14th Singapore Open Scrabble Championship,27 Nov 2011,7,457 -,501,-44,2    -,9,-937,SA
Marlon Prudencio,Nigel Richards,15th Singapore Open Scrabble Championship,18 Nov 2012,6,457 -,395,+62,3    -,9,-875,SA
Marlon Prudencio,Nigel Richards,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,5,430 -,435,-5,3    -,10,-880,SA
Marlon Prudencio,Nigel Richards,Jurong Green CC Scrabble Open Championship 2014,30 Mar 2014,2,333 -,409,-76,3    -,11,-956,SA
Marlon Prudencio,Aaron Chong,14th Singapore Open Scrabble Championship,27 Nov 2011,3,384 -,382,+2,1    -,0,+2,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC mini tournament,11 Dec 2011,8,411 -,454,-43,1    -,1,-41,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC mini tournament,12 Aug 2012,6,505 -,339,+166,2    -,1,+125,SA
Marlon Prudencio,Aaron Chong,15th Singapore Open Scrabble Championship,18 Nov 2012,10,404 -,488,-84,2    -,2,+41,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC mini tournament,9 Dec 2012,5,413 -,473,-60,2    -,3,-19,SA
Marlon Prudencio,Aaron Chong,14th SA Millennium Cup,13 Jan 2013,6,296 -,533,-237,2    -,4,-256,SA
Marlon Prudencio,Aaron Chong,14th SA Millennium Cup,13 Jan 2013,15,480 -,382,+98,3    -,4,-158,SA
Marlon Prudencio,Aaron Chong,Survivors Only Scrabblathon (SOS),2 Feb 2013,2,382 -,388,-6,3    -,5,-164,SA
Marlon Prudencio,Aaron Chong,Survivors Only Scrabblathon (SOS),2 Feb 2013,7,372 -,525,-153,3    -,6,-317,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,6,397 -,454,-57,3    -,7,-374,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,16,244 -,492,-248,3    -,8,-622,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC mini tournament,12 May 2013,7,413 -,358,+55,4    -,8,-567,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC mini tournament,12 May 2013,8,451 -,435,+16,5    -,8,-551,SA
Marlon Prudencio,Aaron Chong,Jurong Green CC Scrabble Open Championship 2014,30 Mar 2014,13,342 -,448,-106,5    -,9,-657,SA
Marlon Prudencio,Yeo Kian Hung Henry,8th Singapore Open Scrabble Championship,30 Oct 2005,2,307 -,412,-105,0    -,1,-105,SA
Marlon Prudencio,Yeo Kian Hung Henry,Jurong Green CC mini tournament,15 Oct 2006,6,470 -,348,+122,1    -,1,+17,SA
Marlon Prudencio,Yeo Kian Hung Henry,9th SA Millennium Cup,27 Jan 2008,10,380 -,445,-65,1    -,2,-48,SA
Marlon Prudencio,Yeo Kian Hung Henry,8th Lim Boon Heng Cup,7 Mar 2010,5,496 -,358,+138,2    -,2,+90,SA
Marlon Prudencio,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,4,406 -,386,+20,3    -,2,+110,SA
Marlon Prudencio,Yeo Kian Hung Henry,12th SA Millennium Cup,23 Jan 2011,9,345 -,424,-79,3    -,3,+31,SA
Marlon Prudencio,Yeo Kian Hung Henry,Survivors Only Scrabblathon (SOS),16 Apr 2011,6,411 -,540,-129,3    -,4,-98,SA
Marlon Prudencio,Yeo Kian Hung Henry,Jurong Green CC mini tournament,15 May 2011,7,435 -,365,+70,4    -,4,-28,SA
Marlon Prudencio,Yeo Kian Hung Henry,Bishan Heights RC mini tournament,27 May 2012,6,441 -,360,+81,5    -,4,+53,SA
Marlon Prudencio,Yeo Kian Hung Henry,Oktobertilefest Scrabblemini,6 Oct 2012,1,508 -,374,+134,6    -,4,+187,SA
Marlon Prudencio,Yeo Kian Hung Henry,15th Singapore Open Scrabble Championship,18 Nov 2012,9,361 -,546,-185,6    -,5,+2,SA
Marlon Prudencio,Yeo Kian Hung Henry,Survivors Only Scrabblathon (SOS),2 Feb 2013,1,483 -,372,+111,7    -,5,+113,SA
Marlon Prudencio,Yeo Kian Hung Henry,Grandeur 8 mini tournament,8 Sep 2013,8,406 -,425,-19,7    -,6,+94,SA
Marlon Prudencio,Yeo Kian Hung Henry,Jurong Green CC Scrabble Open Championship 2014,30 Mar 2014,6,413 -,533,-120,7    -,7,-26,SA
Marlon Prudencio,Martin Teo,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,3,562 -,303,+259,1    -,0,+259,SA
Marlon Prudencio,Martin Teo,14th Singapore Open Scrabble Championship,27 Nov 2011,9,359 -,434,-75,1    -,1,+184,SA
Marlon Prudencio,Martin Teo,14th Singapore Open Scrabble Championship,27 Nov 2011,14,298 -,516,-218,1    -,2,-34,SA
Marlon Prudencio,Jocelyn Lor,4th Lim Boon Heng Cup,19 Mar 2006,2,412 -,389,+23,1    -,0,+23,SA
Marlon Prudencio,Jocelyn Lor,9th SA Millennium Cup,27 Jan 2008,6,386 -,321,+65,2    -,0,+88,SA
Marlon Prudencio,Jocelyn Lor,6th Lim Boon Heng Cup,16 Mar 2008,3,364 -,411,-47,2    -,1,+41,SA
Marlon Prudencio,Jocelyn Lor,7th Lim Boon Heng Cup,22 Mar 2009,7,441 -,406,+35,3    -,1,+76,SA
Marlon Prudencio,Jocelyn Lor,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,12,466 -,395,+71,4    -,1,+147,SA
Marlon Prudencio,Jocelyn Lor,8th Lim Boon Heng Cup,7 Mar 2010,8,374 -,507,-133,4    -,2,+14,SA
Marlon Prudencio,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,7,450 -,463,-13,4    -,3,+1,SA
Marlon Prudencio,Jocelyn Lor,13th Singapore Open Scrabble Championship,14 Nov 2010,16,394 -,429,-35,4    -,4,-34,SA
Marlon Prudencio,Jocelyn Lor,9th Lim Boon Heng Cup,13 Mar 2011,3,399 -,347,+52,5    -,4,+18,SA
Marlon Prudencio,Jocelyn Lor,9th Lim Boon Heng Cup,13 Mar 2011,14,366 -,371,-5,5    -,5,+13,SA
Marlon Prudencio,Jocelyn Lor,Jurong Green CC mini tournament,14 Aug 2011,5,441 -,305,+136,6    -,5,+149,SA
Marlon Prudencio,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,9,399 -,436,-37,6    -,6,+112,SA
Marlon Prudencio,Jocelyn Lor,13th SA Millennium Cup,15 Jan 2012,10,381 -,454,-73,6    -,7,+39,SA
Marlon Prudencio,Jocelyn Lor,Jurong Green CC mini tournament,12 Aug 2012,3,420 -,328,+92,7    -,7,+131,SA
Marlon Prudencio,Jocelyn Lor,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,3,393 -,435,-42,7    -,8,+89,SA
Marlon Prudencio,Jocelyn Lor,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,15,425 -,406,+19,8    -,8,+108,SA
Marlon Prudencio,Jocelyn Lor,mini,1 Dec 2013,7,404 -,377,+27,9    -,8,+135,SA
Marlon Prudencio,Tan Jin Chor,9th Singapore Open Scrabble Championship,28 May 2006,4,578 -,324,+254,1    -,0,+254,SA
Marlon Prudencio,Tan Jin Chor,9th Singapore Open Scrabble Championship,28 May 2006,13,489 -,231,+258,2    -,0,+512,SA
Marlon Prudencio,Tan Jin Chor,8th Lim Boon Heng Cup,7 Mar 2010,9,477 -,345,+132,3    -,0,+644,SA
Marlon Prudencio,Tan Jin Chor,9th Lim Boon Heng Cup,13 Mar 2011,7,331 -,411,-80,3    -,1,+564,SA
Marlon Prudencio,Tan Jin Chor,9th Lim Boon Heng Cup,13 Mar 2011,13,458 -,431,+27,4    -,1,+591,SA
Marlon Prudencio,Tan Jin Chor,14th Singapore Open Scrabble Championship,27 Nov 2011,16,442 -,327,+115,5    -,1,+706,SA
Marlon Prudencio,Tan Jin Chor,15th Singapore Open Scrabble Championship,18 Nov 2012,12,419 -,434,-15,5    -,2,+691,SA
Marlon Prudencio,Alex Tan,13th Singapore Open Scrabble Championship,14 Nov 2010,9,419 -,389,+30,1    -,0,+30,SA
Marlon Prudencio,Alex Tan,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,13,296 -,393,-97,1    -,1,-67,SA
Marlon Prudencio,Alex Tan,Survivors Only Scrabblathon (SOS),16 Apr 2011,11,440 -,388,+52,2    -,1,-15,SA
Ricky Purnomo,Nigel Richards,6th Hong Kah East CC - St John's Institution Annual Friendly,26 Mar 2000,4,340 -,440,-100,0    -,1,-100,SA
Ricky Purnomo,Nigel Richards,3rd Singapore Open Scrabble Championship,21 May 2000,12,407 -,373,+34,1    -,1,-66,SA
Ricky Purnomo,Nigel Richards,Mind Sports Olympiad,10 Sep 2000,4,383 -,414,-31,1    -,2,-97,SA
Ricky Purnomo,Nigel Richards,4th Singapore Open Scrabble Championship,6 May 2001,4,412 -,439,-27,1    -,3,-124,SA
Ricky Purnomo,Nigel Richards,"not the 9th Kenneth Chen Cup, day 1",24 Nov 2001,1,369 -,424,-55,1    -,4,-179,SA
Ricky Purnomo,Nigel Richards,8th Jurong Green CC - St John's Institution Annual Friendly,28 Apr 2002,4,353 -,387,-34,1    -,5,-213,SA
Ricky Purnomo,Nigel Richards,8th Jurong Green CC - St John's Institution Annual Friendly,28 Apr 2002,11,308 -,560,-252,1    -,6,-465,SA
Ricky Purnomo,Nigel Richards,8th Jurong Green CC - St John's Institution Annual Friendly,28 Apr 2002,13,461 -,423,+38,2    -,6,-427,SA
Ricky Purnomo,Nigel Richards,8th Jurong Green CC - St John's Institution Annual Friendly,28 Apr 2002,14,363 -,373,-10,2    -,7,-437,SA
Ricky Purnomo,Nigel Richards,8th Jurong Green CC - St John's Institution Annual Friendly,28 Apr 2002,15,399 -,485,-86,2    -,8,-523,SA
Ricky Purnomo,Nigel Richards,1st Lim Boon Heng Cup,1 Dec 2002,3,301 -,609,-308,2    -,9,-831,SA
Ricky Purnomo,Nigel Richards,6th Singapore Open Scrabble Championship,15 Jun 2003,5,342 -,463,-121,2    -,10,-952,SA
Ricky Purnomo,Nigel Richards,2nd Harmony Cup,7 Sep 2003,14,406 -,592,-186,2    -,11,-1138,SA
Ricky Purnomo,Nigel Richards,2nd Lim Boon Heng Cup,23 Nov 2003,6,451 -,343,+108,3    -,11,-1030,SA
Ricky Purnomo,Nigel Richards,3rd Lim Boon Heng Cup,21 Nov 2004,5,325 -,520,-195,3    -,12,-1225,SA
Ricky Purnomo,Nigel Richards,3rd Lim Boon Heng Cup,21 Nov 2004,11,373 -,414,-41,3    -,13,-1266,SA
Ricky Purnomo,Nigel Richards,3rd Lim Boon Heng Cup,21 Nov 2004,12,311 -,469,-158,3    -,14,-1424,SA
Ricky Purnomo,Nigel Richards,10th Singapore Open Scrabble Championship,27 May 2007,11,494 -,314,+180,4    -,14,-1244,SA
Ricky Purnomo,Nigel Richards,6th Lim Boon Heng Cup,16 Mar 2008,4,364 -,439,-75,4    -,15,-1319,SA
Ricky Purnomo,Nigel Richards,7th Lim Boon Heng Cup,22 Mar 2009,11,341 -,491,-150,4    -,16,-1469,SA
Ricky Purnomo,Nigel Richards,12th Singapore Open Scrabble Championship,31 May 2009,8,402 -,351,+51,5    -,16,-1418,SA
Ricky Purnomo,Nigel Richards,12th Singapore Open Scrabble Championship,31 May 2009,14,360 -,521,-161,5    -,17,-1579,SA
Ricky Purnomo,Nigel Richards,12th Singapore Open Scrabble Championship,31 May 2009,16,391 -,463,-72,5    -,18,-1651,SA
Ricky Purnomo,Nigel Richards,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,5,510 -,359,+151,6    -,18,-1500,SA
Ricky Purnomo,Nigel Richards,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,13,384 -,382,+2,7    -,18,-1498,SA
Ricky Purnomo,Nigel Richards,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,14,301 -,536,-235,7    -,19,-1733,SA
Ricky Purnomo,Nigel Richards,Yew Tee Scrabble Open Championship 2009,22 Nov 2009,15,464 -,541,-77,7    -,20,-1810,SA
Ricky Purnomo,Nigel Richards,8th Lim Boon Heng Cup,7 Mar 2010,13,345 -,440,-95,7    -,21,-1905,SA
Ricky Purnomo,Nigel Richards,Yew Tee Scrabble Open Championship 2010,21 Nov 2010,9,314 -,577,-263,7    -,22,-2168,SA
Ricky Purnomo,Nigel Richards,14th Singapore Open Scrabble Championship,27 Nov 2011,3,397 -,611,-214,7    -,23,-2382,SA
Ricky Purnomo,Nigel Richards,15th Singapore Open Scrabble Championship,18 Nov 2012,11,297 -,501,-204,7    -,24,-2586,SA
Ricky Purnomo,Nigel Richards,Jurong Green CC Scrabble Open Championship 2013,7 Apr 2013,3,384 -,508,-124,7    -,25,-2710,SA
Ricky Purnomo,Nigel Richards,Jurong Green CC Scrabble Open Championship 2014,30 Mar 2014,9,471 -,517,-46,7    -,26,-2756,SA
Ricky Purnomo,Aaron Chong,14th Singapore Open Scrabble Championship,27 Nov 2011,15,353 -,425,-72,0    -,1,-72,SA
Ricky Purnomo,Aaron Chong,Jurong Green CC Scrabble Open Championship 2012,18 Mar 2012,13,366 -,408,-42,0    -,2,-114,SA
Ricky Purnomo,Aaron Chong,Grandeur 8 mini tournament,8 Sep 2012,6,381 -,464,-83,0    -,3,-197,SA
Ricky Purnomo,Aaron Chong,15th Singapore Open Scrabble Championship,18 Nov 2012,7,394 -,355,+39,1    -,3,-158,SA
Ricky Purnomo,Aaron Chong,15th Singapore Open Scrabble Championship,18 Nov 2012,15,460 -,391,+69,2    -,3,-89,SA
