"bingo","score","player","round","phoney","length","probability","playability"
"VARIANT",76,"S Shantikumar",1,FALSE,7,3987,3696
"NASTIER",83,"Lee Chee Meng",1,FALSE,7,30,472
"HUNTERS",73,"Lee Chee Meng",1,FALSE,7,7589,12418
"LUSTIEST",75,"Valliamah Thambiaya",1,FALSE,8,19373,21904
"STAINER",75,"Lee Chee Meng",2,FALSE,7,36,1862
"TENAILS",62,"Nicholas Lee",2,FALSE,7,138,1930
"VIOLETS",79,"Khumraj Thapa",2,FALSE,7,2666,4345
"ROUTINE",66,"Shukra Raj Gurung",2,FALSE,7,67,69
"REPRICE",79,"S Shantikumar",2,FALSE,7,16080,21235
"AILINGS",73,"Nicholas Lee",3,TRUE,7,NA,NA
"IDOLIST",74,"Valliamah Thambiaya",3,FALSE,7,6435,4006
"POSITED",74,"Lee Chee Meng",3,FALSE,7,2632,18741
"LITTERS",69,"Lee Chee Meng",3,FALSE,7,3739,12920
"AUNTIES",62,"Lee Chee Meng",3,FALSE,7,147,72
"MANDATES",74,"S Shantikumar",3,FALSE,8,6293,7495
"FAERIES",76,"Shukra Raj Gurung",3,FALSE,7,1352,1029
"SCOLDING",64,"Shukra Raj Gurung",3,FALSE,8,17087,22575
"ODONATES",58,"Shahrul Kamal",3,FALSE,8,763,237
"ARENITE",61,"Nicholas Lee",4,FALSE,7,14,36
"AIGRETS",67,"Nicholas Lee",4,FALSE,7,359,1916
"DETOURS",70,"Mohammed Ameen",4,FALSE,7,1703,15624
"LOUNGES",79,"Mohammed Ameen",4,FALSE,7,5549,6971
"INDORSE",84,"Khumraj Thapa",4,FALSE,7,206,2440
"GLANDERS",88,"Khumraj Thapa",4,FALSE,8,3207,6829
"UNITING",77,"Khumraj Thapa",4,FALSE,7,17243,15713
"WRESTING",63,"Lee Chee Meng",4,FALSE,8,4750,4057
"SARDINES",70,"Lee Chee Meng",5,FALSE,8,2771,4693
"BROMATES",74,"Shahrul Kamal",5,FALSE,8,5100,11047
"INSURES",74,"Valliamah Thambiaya",5,FALSE,7,7096,10063
"ABLINGS",68,"Valliamah Thambiaya",5,FALSE,7,12688,9271
"PINIONS",60,"Shukra Raj Gurung",5,FALSE,7,17587,16416
"JUICERS",123,"Khumraj Thapa",5,FALSE,7,18493,3473
"ADVICES",83,"Mohammed Ameen",6,FALSE,7,9037,2948
"STUNNED",76,"Mohammed Ameen",6,FALSE,7,10724,9142
"BANTERS",74,"Nicholas Lee",6,FALSE,7,2038,4274
"AREDING",72,"Nicholas Lee",6,FALSE,7,316,7510
"SOONEST",62,"Shahrul Kamal",6,FALSE,7,10361,8039
"RETILED",77,"Shahrul Kamal",6,FALSE,7,753,395
"HANGARS",68,"Shukra Raj Gurung",6,FALSE,7,17911,18043
"HARKING",93,"Khumraj Thapa",7,FALSE,7,20092,24487
"TOURISTS",66,"Khumraj Thapa",7,FALSE,8,19732,22555
"SPLEENS",84,"Valliamah Thambiaya",7,FALSE,7,22136,25536
"SNOWIER",85,"Mohammed Ameen",7,FALSE,7,1288,963
"DIETING",76,"Mohammed Ameen",7,FALSE,7,2799,8281
"DARTIEST",77,"S Shantikumar",7,TRUE,8,NA,NA
"TELLERS",74,"Shahrul Kamal",7,FALSE,7,12267,9200
"SHAKIER",76,"Mohammed Ameen",8,FALSE,7,10185,21073
"SMUTTIER",83,"Mohammed Ameen",8,FALSE,8,10750,15419
"APPLIED",73,"Lee Chee Meng",8,FALSE,7,19331,24923
"FERNIEST",91,"S Shantikumar",8,FALSE,8,2050,2935
"ELUSION",81,"Valliamah Thambiaya",8,FALSE,7,658,369
"TEARERS",69,"Shukra Raj Gurung",8,FALSE,7,2461,6536
"WAILERS",93,"Nicholas Lee",8,FALSE,7,2014,2458
"BRINGER",72,"Shahrul Kamal",8,FALSE,7,11269,12660
"RENTERS",84,"Khumraj Thapa",9,FALSE,7,4926,4799
"STAINED",77,"Shahrul Kamal",9,FALSE,7,116,4438
"STAINED",73,"Valliamah Thambiaya",9,FALSE,7,116,4438
"AERIEST",71,"Lee Chee Meng",9,FALSE,7,73,34
"PICTURED",64,"Shukra Raj Gurung",9,FALSE,8,11634,7761
"SNIRTLE",67,"Nicholas Lee",9,FALSE,7,565,168
"REWINED",72,"Shukra Raj Gurung",10,TRUE,7,NA,NA
"REGAUGE",85,"S Shantikumar",10,FALSE,7,13857,11868
"LESIONED",84,"S Shantikumar",10,FALSE,8,612,2991
"THEMING",75,"Shahrul Kamal",10,FALSE,7,11904,11940
"REALISMS",62,"Shahrul Kamal",10,FALSE,8,11059,18633
"ORDINEES",77,"Shahrul Kamal",10,FALSE,8,217,551
"DELEGATE",78,"Lee Chee Meng",10,FALSE,8,6465,2839
"REWASHED",72,"Shahrul Kamal",11,FALSE,8,13297,26788
"TENSING",61,"Shahrul Kamal",11,FALSE,7,5801,7522
"TASTIEST",68,"Lee Chee Meng",11,FALSE,8,23117,23349
"LOUVRED",81,"S Shantikumar",11,FALSE,7,8367,6092
"UPRISING",65,"Khumraj Thapa",11,FALSE,8,21423,22968
"SWADDIE",108,"Shahrul Kamal",12,FALSE,7,12544,13284
"MOILERS",83,"Shahrul Kamal",12,FALSE,7,2654,2438
"COTTAGE",61,"Shahrul Kamal",12,FALSE,7,8225,7295
"DUETING",78,"Khumraj Thapa",12,FALSE,7,2260,4061
"DETAINED",64,"Lee Chee Meng",12,FALSE,8,1655,802
"VEILING",80,"Mohammed Ameen",12,FALSE,7,10714,10148
"OVERATED",70,"Valliamah Thambiaya",12,TRUE,8,NA,NA
"PANTIES",70,"Nicholas Lee",12,FALSE,7,893,4240
"INTENTS",72,"S Shantikumar",12,FALSE,7,7868,3871
"SHORTIE",80,"Valliamah Thambiaya",13,FALSE,7,1251,4683
"SEATING",74,"Valliamah Thambiaya",13,FALSE,7,352,5616
"COUPONS",78,"S Shantikumar",13,FALSE,7,26041,27956
"FOOTIES",76,"Khumraj Thapa",13,FALSE,7,3656,2627
"EMAILER",70,"Shahrul Kamal",13,FALSE,7,1355,4263
"OUTPUTS",70,"Shahrul Kamal",13,FALSE,7,29418,29539
"POLARISE",65,"Shukra Raj Gurung",13,FALSE,8,702,5496
"TUNNELS",64,"Shukra Raj Gurung",13,FALSE,7,10731,4894
"NECKERS",79,"Mohammed Ameen",13,FALSE,7,19980,19322
"RADIATES",66,"Mohammed Ameen",13,FALSE,8,379,2735
"DOWNIES",69,"Shukra Raj Gurung",14,TRUE,7,NA,NA
"DORSING",68,"Valliamah Thambiaya",14,TRUE,7,NA,NA
"ROOTING",62,"Lee Chee Meng",14,FALSE,7,3556,4291
"ENLISTS",73,"Lee Chee Meng",14,FALSE,7,7090,8355
"SOARING",62,"Lee Chee Meng",14,FALSE,7,1074,4525
"LITERATE",113,"Mohammed Ameen",14,FALSE,8,642,608
"RANDIEST",70,"Mohammed Ameen",15,FALSE,8,82,386
"KNEELER",64,"Nicholas Lee",15,FALSE,7,16464,19071
"LATEENS",75,"Shahrul Kamal",15,FALSE,7,742,2704
"TRAINED",98,"Shahrul Kamal",15,FALSE,7,21,301
"ATONIES",66,"S Shantikumar",15,FALSE,7,11,3
"ONLIEST",65,"Shukra Raj Gurung",16,FALSE,7,227,324
"GOONIER",87,"Shahrul Kamal",16,FALSE,7,928,270
"AFFIXERS",91,"Shahrul Kamal",16,FALSE,8,31036,29219
"KETTLES",79,"Shahrul Kamal",16,FALSE,7,22496,21917
"IRONIES",70,"Nicholas Lee",16,FALSE,7,307,1330
